Date,Open,High,Low,Close,Adj Close,Volume
1997-10-13,22.375000,22.375000,21.000000,21.375000,21.375000,420300
1997-10-14,21.125000,21.187500,20.125000,20.750000,20.750000,159400
1997-10-15,20.343750,20.625000,19.625000,20.000000,20.000000,161200
1997-10-16,19.625000,20.500000,19.625000,20.250000,20.250000,101500
1997-10-17,20.000000,20.500000,19.875000,20.000000,20.000000,80600
1997-10-20,19.875000,20.250000,19.875000,19.875000,19.875000,200700
1997-10-21,19.875000,20.250000,19.875000,19.875000,19.875000,132000
1997-10-22,19.875000,20.500000,19.875000,20.250000,20.250000,109300
1997-10-23,19.375000,20.125000,19.375000,20.125000,20.125000,73900
1997-10-24,19.750000,20.250000,19.750000,20.125000,20.125000,115300
1997-10-27,20.125000,20.500000,19.750000,19.750000,19.750000,40600
1997-10-28,19.750000,19.750000,19.500000,19.625000,19.625000,44100
1997-10-29,19.750000,20.375000,19.625000,20.250000,20.250000,20700
1997-10-30,19.750000,20.250000,19.750000,20.250000,20.250000,50800
1997-10-31,20.500000,20.500000,20.250000,20.250000,20.250000,6300
1997-11-03,21.250000,21.750000,20.875000,20.875000,20.875000,66900
1997-11-04,21.750000,21.750000,20.875000,21.625000,21.625000,12700
1997-11-05,22.000000,23.000000,22.000000,23.000000,23.000000,45200
1997-11-06,22.750000,23.250000,22.500000,22.750000,22.750000,13100
1997-11-07,22.250000,23.250000,22.250000,22.500000,22.500000,15900
1997-11-10,22.500000,23.000000,22.500000,22.500000,22.500000,61300
1997-11-11,23.000000,23.000000,22.500000,22.500000,22.500000,7200
1997-11-12,22.250000,22.250000,20.500000,20.500000,20.500000,219700
1997-11-13,20.500000,21.750000,20.250000,20.500000,20.500000,117500
1997-11-14,20.250000,20.250000,19.750000,19.750000,19.750000,5900
1997-11-17,19.750000,20.250000,19.750000,20.000000,20.000000,52600
1997-11-18,20.500000,20.750000,19.750000,20.750000,20.750000,90600
1997-11-19,20.250000,20.625000,19.750000,19.750000,19.750000,85800
1997-11-20,19.750000,20.125000,19.750000,19.750000,19.750000,12400
1997-11-21,19.875000,20.500000,19.750000,20.250000,20.250000,45400
1997-11-24,20.000000,20.875000,20.000000,20.500000,20.500000,44800
1997-11-25,20.250000,20.875000,20.250000,20.250000,20.250000,35000
1997-11-26,20.250000,20.625000,20.000000,20.000000,20.000000,1800
1997-11-28,20.000000,20.125000,19.562500,19.562500,19.562500,30100
1997-12-01,19.625000,20.250000,18.500000,18.500000,18.500000,63600
1997-12-02,6.500000,8.250000,6.000000,6.750000,6.750000,2506000
1997-12-03,6.750000,7.125000,6.437500,6.937500,6.937500,550000
1997-12-04,7.125000,7.375000,6.750000,6.750000,6.750000,522500
1997-12-05,6.750000,7.000000,6.562500,6.562500,6.562500,198100
1997-12-08,6.750000,7.000000,6.625000,7.000000,7.000000,77800
1997-12-09,7.000000,7.000000,6.625000,6.625000,6.625000,92000
1997-12-10,6.531250,6.875000,6.250000,6.562500,6.562500,101900
1997-12-11,6.375000,6.375000,5.562500,5.812500,5.812500,143800
1997-12-12,6.000000,6.000000,5.250000,5.375000,5.375000,75100
1997-12-15,5.375000,5.750000,4.625000,4.875000,4.875000,78100
1997-12-16,5.000000,6.125000,4.625000,5.625000,5.625000,331300
1997-12-17,5.625000,6.250000,5.625000,6.000000,6.000000,136200
1997-12-18,6.375000,6.625000,6.031250,6.375000,6.375000,112200
1997-12-19,6.250000,7.000000,6.000000,6.937500,6.937500,51600
1997-12-22,7.000000,7.000000,6.625000,7.000000,7.000000,35000
1997-12-23,6.625000,7.000000,6.500000,6.750000,6.750000,14700
1997-12-24,6.750000,6.750000,6.562500,6.625000,6.625000,18300
1997-12-26,6.656250,6.937500,6.562500,6.937500,6.937500,6300
1997-12-29,6.625000,6.937500,6.500000,6.687500,6.687500,30200
1997-12-30,6.687500,6.812500,6.500000,6.500000,6.500000,58800
1997-12-31,6.625000,6.875000,6.250000,6.625000,6.625000,62600
