Date,Open,High,Low,Close,Volume,Adj Close
2015-07-21,1.91,1.99,1.89,1.93,52154900,1.93
2015-07-20,1.94,1.96,1.86,1.86,55425800,1.86
2015-07-17,1.98,1.99,1.89,1.97,70106400,1.97
2015-07-16,2.10,2.11,1.97,1.99,64226800,1.99
2015-07-15,2.15,2.23,2.02,2.05,112637600,2.05
2015-07-14,2.10,2.29,2.08,2.22,67284500,2.22
2015-07-13,2.11,2.28,2.09,2.16,51991200,2.16
2015-07-10,2.21,2.27,2.12,2.22,48615700,2.22
2015-07-09,2.27,2.30,2.16,2.24,68423500,2.24
2015-07-08,2.21,2.24,2.00,2.12,96139400,2.12
2015-07-07,2.18,2.31,1.96,2.26,149137700,2.26
2015-07-06,2.52,2.53,2.19,2.25,172445100,2.25
2015-07-02,2.91,3.02,2.80,2.80,52801600,2.80
2015-07-01,3.10,3.11,2.83,2.88,150622600,2.88
2015-06-30,3.19,3.32,3.14,3.26,53479500,3.26
2015-06-29,3.12,3.20,3.08,3.09,87405800,3.09
2015-06-26,3.23,3.37,3.19,3.30,73414000,3.30
2015-06-25,3.36,3.39,3.29,3.33,65296600,3.33
2015-06-24,3.51,3.64,3.35,3.42,63472600,3.42
2015-06-23,3.33,3.61,3.31,3.57,60924100,3.57
2015-06-22,3.29,3.46,3.27,3.42,47221300,3.42
2015-06-19,3.35,3.41,3.26,3.36,61786500,3.36
2015-06-18,3.50,3.56,3.41,3.52,39755800,3.52
2015-06-17,3.64,3.66,3.28,3.42,83496100,3.42
2015-06-16,3.42,3.50,3.40,3.47,31705600,3.47
2015-06-15,3.30,3.44,3.30,3.41,38431900,3.41
2015-06-12,3.46,3.54,3.42,3.47,26721400,3.47
2015-06-11,3.65,3.65,3.50,3.57,29159900,3.57
2015-06-10,3.74,3.75,3.55,3.67,132430200,3.67
2015-06-09,3.43,3.53,3.41,3.44,77861400,3.44
2015-06-08,3.23,3.30,3.13,3.21,37859500,3.21
2015-06-05,2.99,3.35,2.98,3.31,84964200,3.31
2015-06-04,3.33,3.35,3.13,3.19,91185400,3.19
